Neighborhood
The Alameda
Almaden Valley
Alum Rock
Alviso
Berryessa
Blossom Valley
Buena Vista
Cambrian Park
Chinatowns in San Jose
Communications Hill
Coyote Valley
Downtown Historic District
Downtown San Jose
East Foothills
East San Jose
Edenvale
Evergreen
Japantown
King and Story
Little Portugal
Luna Park
Meadowfair
Midtown San Jose
Naglee Park
North San Jose Innovation District
Palm Haven
Rose Garden
San Jose
San Pedro Square
Santa Teresa
Santana Row
Seven Trees
College Park
Shasta Hanchett Park
Silver Creek Valley
SoFA District
South San Jose
Spartan Keyes
St. Leo's
West San Carlos
West San Jose
West Valley
Willow Glen
Winchester
